2021-01-17 at 15:48:45 EET : WeatherInformation{longitude=37.6173, latitude=55.7558, iconId='01n', description='clear sky', temperature=-18.67, pressure=1014.0, humidity=78.0, windSpeed=3.0}
2021-01-17 at 15:48:47 EET : WeatherInformation{longitude=121.4667, latitude=31.1667, iconId='01n', description='clear sky', temperature=2.38, pressure=1030.0, humidity=55.0, windSpeed=2.0}
2021-01-17 at 15:48:48 EET : WeatherInformation{longitude=116.3914, latitude=39.905, iconId='01n', description='clear sky', temperature=-0.68, pressure=1013.0, humidity=31.0, windSpeed=1.71}
2021-01-17 at 15:48:51 EET : WeatherInformation{longitude=139.6922, latitude=35.6897, iconId='03n', description='scattered clouds', temperature=5.02, pressure=1015.0, humidity=65.0, windSpeed=6.17}
2021-01-17 at 15:48:52 EET : WeatherInformation{longitude=135.5019, latitude=34.6936, iconId='01n', description='clear sky', temperature=0.76, pressure=1021.0, humidity=66.0, windSpeed=0.45}
2021-01-17 at 15:48:58 EET : WeatherInformation{longitude=139.6922, latitude=35.6897, iconId='03n', description='scattered clouds', temperature=5.02, pressure=1015.0, humidity=65.0, windSpeed=6.17}
2021-01-17 at 15:49:00 EET : WeatherInformation{longitude=135.5019, latitude=34.6936, iconId='01n', description='clear sky', temperature=0.76, pressure=1021.0, humidity=66.0, windSpeed=0.45}
2021-01-17 at 15:49:01 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:49:02 EET : WeatherInformation{longitude=26.0993, latitude=44.4366, iconId='01d', description='clear sky', temperature=-2.72, pressure=1016.0, humidity=59.0, windSpeed=3.6}
2021-01-17 at 15:49:05 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:53:56 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:53:57 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:54:01 EET : WeatherInformation{longitude=18.072, latitude=59.329, iconId='04d', description='broken clouds', temperature=-2.44, pressure=1019.0, humidity=86.0, windSpeed=2.57}
2021-01-17 at 15:54:02 EET : WeatherInformation{longitude=11.981, latitude=57.6717, iconId='04d', description='broken clouds', temperature=-0.79, pressure=1019.0, humidity=93.0, windSpeed=2.06}
2021-01-17 at 15:54:04 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:54:06 EET : WeatherInformation{longitude=26.0993, latitude=44.4366, iconId='01d', description='clear sky', temperature=-2.72, pressure=1016.0, humidity=59.0, windSpeed=3.6}
2021-01-17 at 15:54:07 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-12.44, pressure=977.0, humidity=83.0, windSpeed=1.31}
2021-01-17 at 15:54:09 EET : WeatherInformation{longitude=24.15, latitude=45.8, iconId='02d', description='few clouds', temperature=-5.0, pressure=1014.0, humidity=68.0, windSpeed=0.46}
2021-01-17 at 15:54:11 EET : WeatherInformation{longitude=139.6922, latitude=35.6897, iconId='04n', description='broken clouds', temperature=5.02, pressure=1015.0, humidity=65.0, windSpeed=5.66}
2021-01-17 at 15:54:12 EET : WeatherInformation{longitude=135.5019, latitude=34.6936, iconId='01n', description='clear sky', temperature=0.76, pressure=1021.0, humidity=66.0, windSpeed=0.45}
2021-01-17 at 15:54:14 EET : WeatherInformation{longitude=2.349, latitude=48.8647, iconId='04d', description='broken clouds', temperature=7.13, pressure=1024.0, humidity=71.0, windSpeed=4.12}
2021-01-17 at 15:54:16 EET : WeatherInformation{longitude=7.2663, latitude=43.7034, iconId='02d', description='few clouds', temperature=11.4, pressure=1012.0, humidity=58.0, windSpeed=1.54}
2021-01-17 at 15:54:18 EET : WeatherInformation{longitude=121.4667, latitude=31.1667, iconId='01n', description='clear sky', temperature=2.38, pressure=1030.0, humidity=55.0, windSpeed=2.0}
2021-01-17 at 15:54:19 EET : WeatherInformation{longitude=116.3914, latitude=39.905, iconId='01n', description='clear sky', temperature=-0.89, pressure=1013.0, humidity=31.0, windSpeed=1.71}
2021-01-17 at 15:54:21 EET : WeatherInformation{longitude=13.2344, latitude=-8.8383, iconId='03d', description='scattered clouds', temperature=30.0, pressure=1008.0, humidity=58.0, windSpeed=6.69}
2021-01-17 at 15:54:23 EET : WeatherInformation{longitude=15.7333, latitude=-12.7667, iconId='04d', description='broken clouds', temperature=29.0, pressure=1017.0, humidity=32.0, windSpeed=2.57}
2021-01-17 at 16:01:28 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 16:01:28 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 16:01:32 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-12.44, pressure=977.0, humidity=83.0, windSpeed=1.31}
2021-01-17 at 16:03:18 EET : WeatherInformation{longitude=24.15, latitude=45.8, iconId='02d', description='few clouds', temperature=-5.0, pressure=1014.0, humidity=68.0, windSpeed=0.46}
